category_s_code,category_s_name,category_l_code
RSFST09004,居酒屋,RSFST09000
RSFST02001,懐石料理,RSFST02000
RSFST02002,会席料理,RSFST02000
RSFST02003,割烹,RSFST02000
RSFST02004,小料理,RSFST02000
RSFST06007,すき焼き,RSFST02000
RSFST06008,しゃぶしゃぶ,RSFST02000
RSFST02005,沖縄料理,RSFST02000
RSFST02006,郷土料理,RSFST02000
RSFST02007,ほうとう,RSFST02000
RSFST02008,きりたんぽ鍋,RSFST02000
RSFST02009,釜飯(釜めし),RSFST02000
RSFST02010,京料理,RSFST02000
RSFST02011,おばんざい,RSFST02000
RSFST02012,精進料理,RSFST02000
RSFST02014,料亭,RSFST02000
RSFST03001,寿司,RSFST03000
RSFST03002,回転寿司,RSFST03000
RSFST03014,海鮮丼,RSFST03000
RSFST03003,刺身・海鮮料理,RSFST03000
RSFST03004,かに料理,RSFST03000
RSFST03005,ふぐ料理・てっちり,RSFST03000
RSFST03006,すっぽん料理,RSFST03000
RSFST03007,うなぎ,RSFST03000
RSFST03008,どじょう料理,RSFST03000
RSFST03009,はも料理,RSFST03000
RSFST03010,シーフード料理,RSFST03000
RSFST03015,牡蠣料理（かき料理）,RSFST03000
RSFST03011,オイスターバー,RSFST03000
RSFST03012,鯨料理,RSFST03000
RSFST03016,あなご料理,RSFST03000
RSFST03013,すし・魚料理その他,RSFST03000
RSFST04001,鍋料理,RSFST04000
RSFST04002,ちゃんこ鍋,RSFST04000
RSFST04003,水炊き,RSFST04000
RSFST04004,もつ鍋,RSFST04000
RSFST04005,火鍋,RSFST04000
RSFST04007,鍋その他,RSFST04000
RSFST05001,焼肉,RSFST05000
RSFST05004,サムギョプサル,RSFST05000
RSFST05002,ホルモン,RSFST05000
RSFST05003,ジンギスカン,RSFST05000
RSFST06001,牛タン,RSFST06000
RSFST06002,串揚げ,RSFST06000
RSFST06003,焼き鳥,RSFST06000
RSFST06004,鶏料理(鳥料理),RSFST06000
RSFST06005,炭火焼き・炉端焼き,RSFST06000
RSFST06006,鉄板焼き,RSFST06000
RSFST06009,ステーキ,RSFST06000
RSFST06010,ハンバーグ,RSFST06000
RSFST06012,串焼き,RSFST06000
RSFST06013,豚肉料理,RSFST06000
RSFST06014,馬肉料理,RSFST06000
RSFST06015,串カツ,RSFST06000
RSFST06017,もつ焼き,RSFST06000
RSFST06018,鴨料理,RSFST06000
RSFST06016,焼き鳥・肉料理・串料理その他,RSFST06000
RSFST01001,定食・食事処,RSFST01000
RSFST01002,家庭料理,RSFST01000
RSFST01003,おでん,RSFST01000
RSFST01004,天ぷら,RSFST01000
RSFST01005,とんかつ（トンカツ）,RSFST01000
RSFST01006,丼物,RSFST01000
RSFST01007,親子丼,RSFST01000
RSFST01008,牛丼,RSFST01000
RSFST01009,天丼,RSFST01000
RSFST01010,カツ丼(かつ丼),RSFST01000
RSFST01011,豆腐料理,RSFST01000
RSFST01012,湯豆腐,RSFST01000
RSFST02013,湯葉料理(ゆば),RSFST01000
RSFST01013,弁当屋,RSFST01000
RSFST01015,和食その他,RSFST01000
RSFST07001,お好み焼き,RSFST07000
RSFST07002,広島風お好み焼き,RSFST07000
RSFST07003,もんじゃ焼き,RSFST07000
RSFST07004,たこ焼き,RSFST07000
RSFST07005,明石焼き,RSFST07000
RSFST07006,焼きそば,RSFST07000
RSFST07008,お好み焼き・粉物その他,RSFST07000
RSFST08001,そば,RSFST08000
RSFST08002,うどん,RSFST08000
RSFST08003,讃岐うどん,RSFST08000
RSFST08004,カレーうどん,RSFST08000
RSFST08005,ちゃんぽん,RSFST08000
RSFST08006,沖縄そば,RSFST08000
RSFST08007,冷麺,RSFST08000
RSFST08008,ラーメン,RSFST08000
RSFST08009,つけ麺,RSFST08000
RSFST08012,担々麺,RSFST08000
RSFST08013,刀削麺,RSFST08000
RSFST08011,ラーメン・麺料理その他,RSFST08000
RSFST14001,広東料理,RSFST14000
RSFST14002,北京料理,RSFST14000
RSFST14003,四川料理,RSFST14000
RSFST14004,上海料理,RSFST14000
RSFST14005,台湾料理,RSFST14000
RSFST14006,香港料理,RSFST14000
RSFST14007,中華料理,RSFST14000
RSFST14008,餃子,RSFST14000
RSFST14009,飲茶・点心,RSFST14000
RSFST14010,チャーハン,RSFST14000
RSFST14011,中華その他,RSFST14000
RSFST11001,フレンチ(フランス料理),RSFST11000
RSFST11002,イタリアン(イタリア料理),RSFST11000
RSFST11003,パスタ,RSFST11000
RSFST11004,ピザ,RSFST11000
RSFST11005,ビストロ,RSFST11000
RSFST13001,バイキング・ビュッフェ,RSFST13000
RSFST13003,洋食屋,RSFST13000
RSFST13004,オムレツ・オムライス,RSFST13000
RSFST13005,スープ,RSFST13000
RSFST13006,ハヤシライス,RSFST13000
RSFST13007,シチュー,RSFST13000
RSFST13008,チーズフォンデュ,RSFST13000
RSFST13010,洋食その他,RSFST13000
RSFST12001,スペイン料理,RSFST12000
RSFST12002,ドイツ料理,RSFST12000
RSFST12003,ロシア料理,RSFST12000
RSFST12004,地中海料理,RSFST12000
RSFST12005,欧風料理,RSFST12000
RSFST12006,カリフォルニア料理,RSFST12000
RSFST12007,アメリカ料理,RSFST12000
RSFST12008,ケイジャン料理,RSFST12000
RSFST12009,パシフィックリム,RSFST12000
RSFST12010,ハワイアン料理,RSFST12000
RSFST12012,欧米・各国料理その他,RSFST12000
RSFST16001,インドカレー,RSFST16000
RSFST16002,タイカレー,RSFST16000
RSFST16003,スープカレー,RSFST16000
RSFST16005,カレーライス,RSFST16000
RSFST16007,カレーその他,RSFST16000
RSFST15001,韓国料理,RSFST15000
RSFST15002,タイ料理,RSFST15000
RSFST15003,インドネシア料理,RSFST15000
RSFST15004,ベトナム料理,RSFST15000
RSFST15005,インド料理,RSFST15000
RSFST15006,ネパール料理,RSFST15000
RSFST15007,トルコ料理,RSFST15000
RSFST15008,アフリカ料理,RSFST15000
RSFST15009,メキシコ料理,RSFST15000
RSFST15010,ブラジル料理・南米料理,RSFST15000
RSFST15011,モンゴル料理,RSFST15000
RSFST15014,中近東料理,RSFST15000
RSFST15013,アジア・エスニック料理その他,RSFST15000
RSFST17001,創作和食,RSFST17000
RSFST17002,創作料理,RSFST17000
RSFST17003,薬膳料理,RSFST17000
RSFST17004,オーガニック料理,RSFST17000
RSFST17005,無国籍料理,RSFST17000
RSFST17007,野菜料理,RSFST17000
RSFST10001,ダイニングバー,RSFST10000
RSFST10002,レストランバー,RSFST10000
RSFST10003,ビアレストラン,RSFST10000
RSFST10004,ビアホール,RSFST10000
RSFST10005,バー,RSFST10000
RSFST10006,ショットバー,RSFST10000
RSFST10007,アイリッシュパブ,RSFST10000
RSFST10008,ワインバー,RSFST10000
RSFST10009,焼酎バー,RSFST10000
RSFST10010,立ち飲み,RSFST10000
RSFST10011,ダーツバー・ゴルフバー,RSFST10000
RSFST10012,パブ・スナック,RSFST10000
RSFST10013,クラブ・ラウンジ,RSFST10000
RSFST10014,スペインバル・イタリアンバール,RSFST10000
RSFST21001,日本酒,RSFST21000
RSFST21002,焼酎,RSFST21000
RSFST21003,泡盛,RSFST21000
RSFST21004,ビール,RSFST21000
RSFST21005,紹興酒・中国酒,RSFST21000
RSFST21006,マッコリ,RSFST21000
RSFST21007,ワイン,RSFST21000
RSFST21008,カクテル,RSFST21000
RSFST21009,ウイスキー,RSFST21000
RSFST21010,ブランデー,RSFST21000
RSFST21011,スピリッツ,RSFST21000
RSFST21013,お酒その他,RSFST21000
RSFST18001,カフェ,RSFST18000
RSFST18002,喫茶店・軽食,RSFST18000
RSFST18015,クレープ,RSFST18000
RSFST18016,パフェ,RSFST18000
RSFST18003,甘味処,RSFST18000
RSFST18004,フルーツパーラー,RSFST18000
RSFST18005,ケーキ屋・スイーツ,RSFST18000
RSFST18006,アイスクリーム,RSFST18000
RSFST18007,パン屋・サンドイッチ,RSFST18000
RSFST06011,ハンバーガー,RSFST18000
RSFST18008,コーヒー,RSFST18000
RSFST18009,紅茶,RSFST18000
RSFST18010,日本茶,RSFST18000
RSFST18011,中国茶,RSFST18000
RSFST18012,ハーブティ,RSFST18000
RSFST18013,ジュース,RSFST18000
RSFST18014,カフェ・スイーツその他,RSFST18000
RSFST19001,パーティールーム・スペース,RSFST19000
RSFST19002,バンケットルーム,RSFST19000
RSFST19003,宴会場,RSFST19000
RSFST19004,カラオケボックス,RSFST19000
RSFST19005,漫画喫茶,RSFST19000
RSFST19006,インターネットカフェ,RSFST19000
RSFST19007,テーマパークレストラン,RSFST19000
RSFST19008,アミューズメント,RSFST19000
RSFST19009,ライブハウス・クラブ(踊る),RSFST19000
RSFST19010,クルージング,RSFST19000
RSFST19011,屋形船,RSFST19000
RSFST20001,ファミリーレストラン,RSFST20000
RSFST20002,ファーストカジュアル,RSFST20000
RSFST20003,ファーストフード,RSFST20000
RSFST90001,その他の料理,RSFST90000}]}
