pref_code,pref_name,area_code
PREF01,北海道,AREA150
PREF02,青森県,AREA160
PREF03,岩手県,AREA160
PREF04,宮城県,AREA160
PREF05,秋田県,AREA160
PREF06,山形県,AREA160
PREF07,福島県,AREA160
PREF08,茨城県,AREA110
PREF09,栃木県,AREA110
PREF10,群馬県,AREA110
PREF11,埼玉県,AREA110
PREF12,千葉県,AREA110
PREF13,東京都,AREA110
PREF14,神奈川県,AREA110
PREF15,新潟県,AREA170
PREF16,富山県,AREA170
PREF17,石川県,AREA170
PREF18,福井県,AREA170
PREF19,山梨県,AREA130
PREF20,長野県,AREA130
PREF21,岐阜県,AREA130
PREF22,静岡県,AREA130
PREF23,愛知県,AREA130
PREF24,三重県,AREA130
PREF25,滋賀県,AREA120
PREF26,京都府,AREA120
PREF27,大阪府,AREA120
PREF28,兵庫県,AREA120
PREF29,奈良県,AREA120
PREF30,和歌山県,AREA120
PREF31,鳥取県,AREA180
PREF32,島根県,AREA180
PREF33,岡山県,AREA180
PREF34,広島県,AREA180
PREF35,山口県,AREA180
PREF36,徳島県,AREA190
PREF37,香川県,AREA190
PREF38,愛媛県,AREA190
PREF39,高知県,AREA190
PREF40,福岡県,AREA140
PREF41,佐賀県,AREA140
PREF42,長崎県,AREA140
PREF43,熊本県,AREA140
PREF44,大分県,AREA140
PREF45,宮崎県,AREA140
PREF46,鹿児島県,AREA140
PREF47,沖縄県,AREA200
